store_id,latitude,longitude,address,rating,distance,review_count,name
vRJPrk-VH75uxLiVVprBhA,45.61749978,-73.60601127,7000 Boulevard Maurice Duplessis,5,375.1113112,4,Capucine
zbWm7G5L2PJMLpvYz-jFEw,45.61749978,-73.60601127,6363 Boulevard Henri Bourassa E,5,960.3951827,1,La Veranda
2P1Rvd4IboY8z7oRoT8b8g,45.61749978,-73.60601127,7470 Maurice-Duplessis Boul,4.5,975.9184542,3,Dagostino Pizza
TyKGLi1V1PFRHYmHDjFUMQ,45.61749978,-73.60601127,7301Boulevard Henri-Bourassa E,4,920.9605695,14,Restaurant Prima Luna
tqSc0fajx8_yR91r6SGwmg,45.61749978,-73.60601127,7303 Henri-Bourassa Boul E,4.5,956.3445506,2,Pizzeria Etc (La)
BpnevNTdiTqQpLD21cRg1A,45.61749978,-73.60601127,"7300, boul Maurice-Duplessis",3.5,808.7415016,3,Grillades Sizzle
DOVOYnq3y-milXVI03GIrg,45.61749978,-73.60601127,11500 Albert Hudon,4,365.5426468,1,Boulangerie Adriatica
qXByAmujOzT_9lm1_KGsiw,45.61749978,-73.60601127,7272 Boulevard Maurice-Duplessis,1.5,748.7849856,2,Shekz Restaurant
PfOpCNpPZOR2d_qp1jmmQw,45.61749978,-73.60601127,7545 Boulevard Maurice-Duplessis,1,1165.624668,3,Tim Hortons
rT3-M94l2y-OVFQlavHB3A,45.61749978,-73.60601127,11836 Langelier Boul,0,702.4499779,0,Anna Depanneurs
3z6sA-VuwNx6ylDObHcMsg,45.61749978,-73.60601127,7519 Blvd. Maurice-Duplessis,0,1088.924936,0,Subway Restaurants
u48um-b_-w1JlX0baFG7Cw,45.61749978,-73.60601127,11861 Langelier Boul,0,704.0955445,0,Kurde Pizza
PKWWY8C7vOYQmF1LuZ1KYg,45.61749978,-73.60601127,11836 Langelier Boul,0,702.4499779,0,90454687 Charcuterie Anna
lMkzxsEjAIP3esaUXtgw1g,45.61749978,-73.60601127,11760 4E Av,0,610.4388458,0,Fromages Cda (Les)
0eoYso7iJeEjw4_Rndn6ZA,45.61749978,-73.60601127,7462 Boulevard Maurice-Duplessis,0,957.3005277,0,Sushi RDP
MnlUcHSM24uqbX53n9-3Rg,45.61749978,-73.60601127,11200 Renaude Lapointe Rue,0,984.2417804,0,Restaurant Les Dauphines
dafrw8OOsVK26g2F15uyIQ,45.61749978,-73.60601127,6353 De Dijon Rue,0,898.1660397,0,Pizzaria Baraka Food
P5E4LDGFYp4fTprBTERQgw,45.61749978,-73.60601127,7230 Boulevard Maurice-Duplessis,0,702.8724738,0,Phoenix Oriental
NgsqN9GQX03moBknTvPgKg,45.51692621,-73.56425732,3575 Avenue du Parc,5,1113.937462,6,Van Houtte
iq1CdAvfcrMlrkfayme7WQ,45.51692621,-73.56425732,30 Rue Prince Arthur O,5,776.6051862,5,Maynard
VAKTQoWglnCHXTNtZt3xCQ,45.51692621,-73.56425732,4084 Rue Saint-Denis,5,1058.336875,12,La Panzeria
0vqIOuchDf8pGIdJEP4muA,45.51692621,-73.56425732,1481 Rue Amherst,5,493.1853357,10,Alejandro
LMdWCdzswKGB-ceSjHtc9Q,45.51692621,-73.56425732,8 Rue Sherbrooke O,5,686.1633555,19,Café Origine
7gzCdoL1Zuk-S1Tf55lp4Q,45.51692621,-73.56425732,3575 Du Parc Avenue,5,1113.937462,17,Farrouj Express
