latitude,longitude,nbr of bikes,station name,city,company name
45.6027276,-73.5579303,5,Bibliothèque Jean-Corbeil (Goncourt / Place Montrichard),"Montréal, QC","Motivate International, Inc."
45.610926628992026,-73.54673445224762,4,Aréna Chaumont (Chaumont / des Ormeaux),"Montréal, QC","Motivate International, Inc."
45.502989,-73.689113,15,Parc Chamberland (Dorais / de l'Église),"Montréal, QC","Motivate International, Inc."
45.43836713933041,-73.71546685695648,7,Parc Summerlea (53e avenue / St-Joseph),"Montréal, QC","Motivate International, Inc."
45.44606092178209,-73.65079946815968,9,Parc Kirkland (des Érables / Boyer),"Montréal, QC","Motivate International, Inc."
45.49716534003792,-73.55933010578154,16,William / Robert-Bourassa,"Montréal, QC","Motivate International, Inc."
45.51366626207095,-73.53842496871948,16,Quai de la navette fluviale,"Montréal, QC","Motivate International, Inc."
45.49537171535007,-73.56858909130096,12,St-Antoine / de la Montagne,"Montréal, QC","Motivate International, Inc."
45.43854405099729,-73.62021625041962,4,Lapierre / Serge,"Montréal, QC","Motivate International, Inc."
45.432839840726125,-73.69349151849747,20,Parc St-Louis (St-Joseph / 34e avenue),"Montréal, QC","Motivate International, Inc."
45.43579350588776,-73.6801904439926,4,Victoria / 18e avenue Lachine,"Montréal, QC","Motivate International, Inc."
45.4157471675921,-73.63751649856567,7,LaSalle / 80e avenue,"Montréal, QC","Motivate International, Inc."
45.41631023854958,-73.61291594803333,4,LaSalle / 37e avenue,"Montréal, QC","Motivate International, Inc."
45.45608545783109,-73.58193710446358,4,Métro Jolicoeur (de Sève / Drake),"Montréal, QC","Motivate International, Inc."
45.60962627826218,-73.52273898082785,6,Duchesneau / de Marseille,"Montréal, QC","Motivate International, Inc."
45.520019102391636,-73.61890733242035,3,CCI Outremont (Dollard / Durcharme),"Montréal, QC","Motivate International, Inc."
45.55988367688166,-73.63356828689575,9,Papineau / Émile-Journault,"Montréal, QC","Motivate International, Inc."
45.44693448484644,-73.57219934463501,4,LaSalle / Godin,"Montréal, QC","Motivate International, Inc."
45.5904902,-73.5902694,3,Parc Delorme (Malouin / Laferté),"Montréal, QC","Motivate International, Inc."
45.57940569041942,-73.60258877277374,4,Parc Luigi-Pirandello (de Bretagne / Jean-Rivard),"Montréal, QC","Motivate International, Inc."
45.5200557245067,-73.67795147001743,10,Parc Beaulac (rue Élizabeth),"Montréal, QC","Motivate International, Inc."
45.52591381815231,-73.68911147117615,6,Parc St-Laurent (Dutrisac),"Montréal, QC","Motivate International, Inc."
45.5616903,-73.610512,2,CHSLD St-Michel (8e avenue / Jarry),"Montréal, QC","Motivate International, Inc."
45.485047979822774,-73.5719633102417,2,Georges-Vanier / Notre-Dame,"Montréal, QC","Motivate International, Inc."
45.44527192876118,-73.62448364496231,10,Travaux publics LaSalle (Cordner / Léger),"Montréal, QC","Motivate International, Inc."
45.501863463435576,-73.5439610481262,2,Parc de Dieppe,"Montréal, QC","Motivate International, Inc."
45.425059666150744,-73.64959917962551,2,Terminus Newman (Airlie / Lafleur),"Montréal, QC","Motivate International, Inc."
45.43745998781385,-73.69353175163269,3,Parc Ivan-Franko (33e avenue / Victoria),"Montréal, QC","Motivate International, Inc."
45.42612352042827,-73.65741580724716,20,Parc Highlands (Highlands / LaSalle),"Montréal, QC","Motivate International, Inc."
45.44404309237571,-73.61375212669373,3,Newman / Senkus,"Montréal, QC","Motivate International, Inc."
45.507837541505836,-73.56313616037369,12,St-Urbain / René-Lévesque,"Montréal, QC","Motivate International, Inc."
45.50538591756765,-73.5704317688942,11,de Maisonneuve / Aylmer (est),"Montréal, QC","Motivate International, Inc."
45.49276061084002,-73.55641052126883,15,Smith / Peel,"Montréal, QC","Motivate International, Inc."
